,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",18,20,34,35,22,26,29,23,47,11,12,11,"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00019,254,197,200,875,620,439,473,844,1029,572,247,425,"fig|536231.75.peg.22|RIL182_00019   Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00020,721,652,638,1604,1297,933,1289,1961,1944,654,293,557,"fig|536231.75.peg.23|RIL182_00020   Oxidoreductase, Gfo/Idh/MocA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00028,7747,6125,7655,14050.159,15849,11206,17047.91,25944.115,21844,10688,2496,10334,"fig|536231.75.peg.24|RIL182_00028   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00029,13,20,2,73.763,49,53,3,9,0,4,0,16,"fig|536231.75.peg.25|RIL182_00029   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00030,53,50,16,197.237,90,84,7,33,33,18,0,23,"fig|536231.75.peg.26|RIL182_00030   Transposase, IS30 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00031,242.752,271.472,159,1106.952,506.606,626.394,167.32,187.003,129,188,214.142,39,"fig|536231.75.peg.27|RIL182_00031   mobilization/transfer protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00032,69.248,65.528,39,365.405,26.394,209.606,21.68,63.997,32,36,49.858,41,"fig|536231.75.peg.28|RIL182_00032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00033,11,8,21,229.642,287,152,12,17,39,15,0,21,"fig|536231.75.peg.29|RIL182_00033   FIG00519257: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",52,69,59,213,231,174,97,130,126,272,183,117,"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00034,285,240.589,205,1853,1230,1061.926,166,214,313,350,250,172,"fig|536231.75.peg.31|RIL182_00034   FIG00529820: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00035,31,36.999,6,159.823,103.4,38.468,17,29,27,60,22,0,"fig|536231.75.peg.32|RIL182_00035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",18,64.001,28,304.177,283.6,139.606,26,53,25,32,57,76,"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00036,1184,1192,1108,8321,2670,3720,1538,2207,1386,2806,1985,1148,"fig|536231.75.peg.34|RIL182_00036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",4,0,1,0,0,6,1,0,0,8,0,0,"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00037,774.859,727,648,1416.537,762.869,688,848,944.381,443,791,633,285,"fig|536231.75.peg.36|RIL182_00037   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00038,256.141,208,198,685.463,406.131,348.998,330,376.619,173,317,302,204,"fig|536231.75.peg.37|RIL182_00038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00039,3197,2487,2212,19521,7786.469,9668,3050,4759.067,3806,6973,5576,3138,"fig|536231.75.peg.38|RIL182_00039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00040,1250,754.215,651,3404,1905,1751,1028,1613,1732,1734,1245,1173,"fig|536231.75.peg.39|RIL182_00040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00041,135,144,122,819.458,465.406,451.577,193.999,349.503,228,282,139,139,"fig|536231.75.peg.40|RIL182_00041   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00042,1326,1047,898,9095.01,3440.594,4542.423,1292.026,2562.497,1761,3043,2086,862,"fig|536231.75.peg.41|RIL182_00042   putative secreted protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",11,5,8,21,35,20,15,14,26,5,0,3,"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00043,160,131,78,451,248.927,262,101,215.35,232,232,135,111.636,"fig|536231.75.peg.43|RIL182_00043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00044,754,618,490,4911.152,1938.327,2281,586,1091.65,1205,1640,942,655.364,"fig|536231.75.peg.44|RIL182_00044   protein of unknown function DUF1214   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00045,1385,1074,748,11613,9615,6114,1271,2203,1923,2856,2450,1226,"fig|536231.75.peg.45|RIL182_00045   Alkyl sulfatase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00046,696,405,372,5176,2401,1398,2668,3763,1364,4892,2080,2424,"fig|536231.75.peg.46|RIL182_00046   RNA polymerase sigma factor SigV   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00047,657,360,463,4793,5432,1794,4271,5871.096,1233,3704,472,1788,"fig|536231.75.peg.47|RIL182_00047   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00049,364,250,219,1020.55,1036,540,358,720,817,661,256,548,"fig|536231.75.peg.48|RIL182_00049   acetyl esterase family enzyme   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00050,905,496.821,551,1549,685,1040.502,773,1956.007,3136,1795,796,1393,"fig|536231.75.peg.49|RIL182_00050   Tyrosyl-tRNA synthetase (EC 6.1.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00051,65,41,33.49,211,154.022,138.744,120,131,120,118,58,56,"fig|536231.75.peg.50|RIL182_00051   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00052,68,51,36.51,101,153.978,40.254,81,80,68,74,15,53,"fig|536231.75.peg.51|RIL182_00052   RNA polymerase sigma factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00053,65,54,44,169,123,128,175,175,112,102,13,126,"fig|536231.75.peg.52|RIL182_00053   ECF-type sigma factor negative effector   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00054,276,188,260,258,127,190,212,304,205,43,55,51,"fig|536231.75.peg.53|RIL182_00054   Hydrolase (HAD superfamily) in cluster with DUF1447   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00055,163,126,146,244,191,154,210,348,289,117,20,85,"fig|536231.75.peg.54|RIL182_00055   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00056,104,83,83,152,123,70.355,53,87,133,38,60,42,"fig|536231.75.peg.55|RIL182_00056   Substrate-specific component BioY of biotin ECF transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00057,111,166,145,226,169,188,102,123,107,87,16,78,"fig|536231.75.peg.56|RIL182_00057   Biotin synthase (EC 2.8.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00058,136,95,82.088,184,224,143,50,150,52,18,63,0,"fig|536231.75.peg.57|RIL182_00058   Dethiobiotin synthase BioD (EC 6.3.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00059,332,298,349,514,749,406,142,235.271,303,117,64,165,"fig|536231.75.peg.58|RIL182_00059   Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00060,108,112,128,157,148,71,111,146.729,70,57,7,42,"fig|536231.75.peg.59|RIL182_00060   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00061,280,224,143,1969,1207,1196,80,166,259,202,204,111,"fig|536231.75.peg.60|RIL182_00061   Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00062,85,119,27,410.164,305,179,35,71,97,65,15,0,"fig|536231.75.peg.61|RIL182_00062   Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00063,939,665,932,1861.264,1422,1131,859.155,1438,1539,1147,832,802,"fig|536231.75.peg.62|RIL182_00063   Inner membrane protein YbiR, putative anion permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00064,477,405,484,1546,1125,886,661,682,911,762,355,435,"fig|536231.75.peg.63|RIL182_00064   Membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00065,8,34,16,44,61,23,6,14,11,17,21,28,"fig|536231.75.peg.64|RIL182_00065   Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00066,100,56.013,37,101,79,35,18,33,0,13,37,0,"fig|536231.75.peg.65|RIL182_00066   Lysophospholipase L2 (EC 3.1.1.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00067,65,78,73,335,188,94,36,41,30,38,32,55,"fig|536231.75.peg.66|RIL182_00067   Uncharacterized MFS-type transporter YxiO   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00068,37,42,29,3,37,6,6,10,14,2,0,0,"fig|536231.75.peg.67|RIL182_00068   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00069,220,182,156,249,183,199,72,76,109,48,47,59,"fig|536231.75.peg.68|RIL182_00069   Polyphosphate kinase (EC 2.7.4.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00070,30,49,39,100,134,51,33,45,24,80,9,39,"fig|536231.75.peg.69|RIL182_00070   Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00071,43,55,38,124,86,77,21,28,38,21,0,18,"fig|536231.75.peg.70|RIL182_00071   Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00072,119,90,63,367,223,82,31,43,45,24,8,46,"fig|536231.75.peg.71|RIL182_00072   Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00073,146,93,83,120,57,25,30,50,49,43,22,37,"fig|536231.75.peg.72|RIL182_00073   Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00074,58,49,23.264,65,127,74,18,11,23,15,18,0,"fig|536231.75.peg.73|RIL182_00074   Phosphate transport system regulatory protein PhoU   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00075,7279,7007,9475,10752,7195,8036,6670,11091.013,10794,5204,3255,5003,"fig|536231.75.peg.74|RIL182_00075   Sodium-dependent phosphate transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00076,1853,1634,2256,1950,1296,1445,1689,2068,1777,876,467,825,"fig|536231.75.peg.75|RIL182_00076   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00077,904,812,1167,1508.736,931,1129.765,1019,1657,1600,829,366,901,"fig|536231.75.peg.76|RIL182_00077   Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00078,4188,3146.874,4581,9687,7533,6159.782,6304.114,10794,11291,6332,3378,6256,"fig|536231.75.peg.77|RIL182_00078   DNA/RNA helicases, SNF2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",11,1,2,10,0,0,14,3,0,0,0,0,"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00079,823,728,918,525,375,398,1459.475,1463,743,922,430,969,"fig|536231.75.peg.79|RIL182_00079   Putative manganese efflux pump MntP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00080,3672,3323,4230,3615,1899,2951,4287.162,4914,2761,3947,2140,3588,"fig|536231.75.peg.80|RIL182_00080   Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00081,588.732,602.38,446.635,961.549,1018.895,544.628,1077.086,2162.67,1180.015,746.691,330,712.017,"fig|536231.75.peg.81|RIL182_00081   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00082,9397.268,8932.62,10356.336,16602.419,16058.105,11941.927,12181.914,22399.33,19293.985,17684.309,10177,13428.983,"fig|536231.75.peg.82|RIL182_00082   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00083,1454,1155,1449,1558,1387.323,1681.155,1698,2850,1250,654,230,437,"fig|536231.75.peg.83|RIL182_00083   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00084,4874,3528,5228.005,1339,958.677,1126.845,1487,1550,976,428,275,339,"fig|536231.75.peg.84|RIL182_00084   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00085,2157,2141,1930,3111.716,4682,1912,2597,3960,3369,692,225,447,"fig|536231.75.peg.85|RIL182_00085   Glycerol uptake operon antiterminator regulatory protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00086,936,617,427,1301,1510,1325,344,596,512,988,458,712,"fig|536231.75.peg.86|RIL182_00086   FIG01032097: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00087,23,26,17.446,14.539,25,7,8,9,11,3,0,7,"fig|536231.75.peg.87|RIL182_00087   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00088,54,68,56.554,116.461,102,68,47,66,44,79,37,45,"fig|536231.75.peg.88|RIL182_00088   FIG00513240: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00089,946,786,816,587,1414,518,1432,1953,670,323,113,262,"fig|536231.75.peg.89|RIL182_00089   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00090,1028,714,745,1135,899,1086,502,759,1092,833,577,552,"fig|536231.75.peg.90|RIL182_00090   FIG01031723: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00091,387.359,259,209,399,544,300,161,182,192,262,127,197,"fig|536231.75.peg.91|RIL182_00091   Tn916, transcriptional regulator, putative   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00092,1,3,9,0,10,0,2,1,0,8,0,0,"fig|536231.75.peg.92|RIL182_00092   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00093,10,7,11,20,0,16,7,6.002,15,12,0,0,"fig|536231.75.peg.93|RIL182_00093   FIG086557: Conjugation related protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00094,39529.823,30053.053,24978.567,14283,34531,10083,101522.556,71724.25,14154,7677,6953,9694,"fig|536231.75.peg.94|RIL182_00094   Uncharacterized membrane spanning protein, contains VanZ-like domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00095,116,118,38,366,474,274,120,131,137,89,56,87,"fig|536231.75.peg.95|RIL182_00095   FIG00512738: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00096,169,123,135,382,411,176,204,283,242,119,123,123,"fig|536231.75.peg.96|RIL182_00096   Antirestriction protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00097,18.726,12,5,47,1.273,4.844,12.469,8,27,53,14,60,"fig|536231.75.peg.97|RIL182_00097   FIG00516843: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00098,427.274,244,239,819,676.727,646.156,127.531,252,263,391,94,286,"fig|536231.75.peg.98|RIL182_00098   FIG00520311: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00099,383,284,181,1231,1340.249,907.462,166,264,245,314,141,160,"fig|536231.75.peg.99|RIL182_00099   putative membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00100,183,156,109,371,544,193,80,94,122,116,14,80,"fig|536231.75.peg.100|RIL182_00100   lipoprotein, NLP/P60 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00101,91,83,37,78,81,39,13,46,48,56,10,4,"fig|536231.75.peg.101|RIL182_00101   FIG00513093: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00102,488,293,312.181,103,159.137,93.007,1058.453,844.68,189.475,76,50,152,"fig|536231.75.peg.102|RIL182_00102   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00103,1492,1261,1378.819,694,1244.863,793.993,3395.547,3060.32,1280.525,526,82,1013,"fig|536231.75.peg.103|RIL182_00103   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00104,874,820.057,900,195,594,264,2032.024,2050.559,713,283,62,568,"fig|536231.75.peg.104|RIL182_00104   Efflux ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00105,18,2,6,0,0,0,17,23,20,27,0,24,"fig|536231.75.peg.105|RIL182_00105   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00106,1040.91,965.387,906.401,147.736,154.388,110.672,1171.092,925.31,195.86,70,17,119,"fig|536231.75.peg.106|RIL182_00106   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00107,4493.912,3272.349,2671.328,401.264,682.151,705.523,3332.334,2193.334,867.852,337,242,562,"fig|536231.75.peg.107|RIL182_00107   FIG00518185: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00108,357.178,233.207,188.271,120,279.461,250.805,576.72,421.798,172.287,66,112,164,"fig|536231.75.peg.108|RIL182_00108   ABC transporter-like sensor linked histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00109,644,366,408,1714,3039,1697,252,394,301,541,290,286,"fig|536231.75.peg.109|RIL182_00109   conjugative transposon conserved hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00110,105,37,59,172,104,75,38,37,59,96,71,67,"fig|536231.75.peg.110|RIL182_00110   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00111,123,86,75.987,108,146.34,123,53,69,61,158,54,25,"fig|536231.75.peg.111|RIL182_00111   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00112,9190,6934,4951.013,12241,16087.66,10467,6835.225,9505.239,8137,4926,2796,3414,"fig|536231.75.peg.112|RIL182_00112   putative transposon integrase; Tn916 ORF3-like   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00113,3060,2751,2541,7001,6270,4014,5589.006,9485,4897,3870,2072,3500,"fig|536231.75.peg.114|RIL182_00113   Glycerol kinase (EC 2.7.1.30)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00114,2374,2021,2620,2851,2609,1707,4036,5929,2634,1707,1005,1632,"fig|536231.75.peg.115|RIL182_00114   Glycerol uptake facilitator protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00115,791,785,783.029,2774,2634,1171,2481,5400,2527,1713,705,1420,"fig|536231.75.peg.116|RIL182_00115   Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00116,725,812,1043,2504,2821,1216.94,2232,4201,2185,1650,778,1327,"fig|536231.75.peg.117|RIL182_00116   Putative oxidoreductase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00117,38,29,46,159,96,62.558,134,229,23,59,0,26,"fig|536231.75.peg.118|RIL182_00117   FIG00513440: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00118,1031,1027,1237,1805,1575,1342,860,1648,3590,1568,614,1040,"fig|536231.75.peg.119|RIL182_00118   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00119,2786,1920,2804,6047,3660,3550.071,3715,7432,8875,3200,1811,3041,"fig|536231.75.peg.120|RIL182_00119   Methionyl-tRNA synthetase (EC 6.1.1.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00120,1367,1278,1881,2549,2800,2059,1570,3248.019,4152,1793,948,1475,"fig|536231.75.peg.121|RIL182_00120   Glucosyltransferase (side chain biosynthesis) (EC 2.4.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00121,15898,12451.076,13007,6903,4678,5458,7274,7957.058,5125,2175,1810,2410,"fig|536231.75.peg.122|RIL182_00121   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00122,99,79,97.31,62,50,37,62,84,135,28,41,20,"fig|536231.75.peg.123|RIL182_00122   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00123,17,14,10.69,23,36,0,17,18,5,0,0,0,"fig|536231.75.peg.124|RIL182_00123   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00124,5135,4448,5542.199,6137,5135,4435,1833.162,2896,2305,886,1069,1099,"fig|536231.75.peg.125|RIL182_00124   Uncharacterized metal-dependent hydrolase YcfH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00125,1357,984,507,3762,1364,2529,1022,1776,2492,4974,1537,2352,"fig|536231.75.peg.126|RIL182_00125   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00126,3091,1986,1033,7236,5056,5260,2224,3540.009,3889,8162,2935,4115,"fig|536231.75.peg.127|RIL182_00126   Biotin synthase related domain containing protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00127,4836,4183,4224,15479,13571,8493,10658.87,20250.059,16320,9070,2960,6983,"fig|536231.75.peg.128|RIL182_00127   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
