,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,original_tags
RIL182_00019,845,577,361,728,581,382,479,555,846,"fig|536231.75.peg.22|RIL182_00019   Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00020,1927,1432,730,1795,1448,1334,1344,1405,2210,"fig|536231.75.peg.23|RIL182_00020   Oxidoreductase, Gfo/Idh/MocA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00028,35444.3,35960.12,15453,32768.683,24622.766,42605,12119,12381,19942,"fig|536231.75.peg.24|RIL182_00028   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00029,3,1,0,0,0,0,3,29,4,"fig|536231.75.peg.25|RIL182_00029   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00030,16,16,10,0,1,0,17,53,30,"fig|536231.75.peg.26|RIL182_00030   Transposase, IS30 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00031,20,20,39,7,14.008,15,27,21,21,"fig|536231.75.peg.27|RIL182_00031   mobilization/transfer protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00032,5,6,0,2,1.992,3,7,27,30,"fig|536231.75.peg.28|RIL182_00032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00033,5,10,0,7,2,0,22,19,27,"fig|536231.75.peg.29|RIL182_00033   FIG00519257: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",29,37,12,5,22,10,192,155,153,"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00034,89,57,35,28,24,23,194,119,247,"fig|536231.75.peg.31|RIL182_00034   FIG00529820: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00035,7.609,3,11,0,0,0,15.761,31.83,7,"fig|536231.75.peg.32|RIL182_00035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",7.391,14,0,4,3,1,53.239,38.17,56,"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00036,339,285,209,57,83,31,1582,1447,1810,"fig|536231.75.peg.34|RIL182_00036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00037,118,105,131,14,33,1,438,284,406,"fig|536231.75.peg.36|RIL182_00037   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00038,46,44,21,2,13,0,251,298,186,"fig|536231.75.peg.37|RIL182_00038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00039,2477,1558,1274,2300,1593,1869,8946,6530,11626,"fig|536231.75.peg.38|RIL182_00039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00040,1312,772,585,1855,1003,952,2877,2460,4300,"fig|536231.75.peg.39|RIL182_00040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00041,82.791,81.289,56,51.905,23.603,105.786,210.703,108.242,314,"fig|536231.75.peg.40|RIL182_00041   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00042,542.209,426.711,300,465.095,184.397,637.214,2448.297,1926.758,2396,"fig|536231.75.peg.41|RIL182_00042   putative secreted protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",8,9,0,3,7,2,22,41,27,"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00043,169,117,57,150,90.51,207,205,230,358.029,"fig|536231.75.peg.43|RIL182_00043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00044,688,453,361,678,372.49,741,2677,2680,3765.971,"fig|536231.75.peg.44|RIL182_00044   protein of unknown function DUF1214   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00045,1190,727,479,1316,693,1051,5086,4075,6204,"fig|536231.75.peg.45|RIL182_00045   Alkyl sulfatase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00046,4351.191,3711,2497,18420.898,12260,8478,2660,3274,4651,"fig|536231.75.peg.46|RIL182_00046   RNA polymerase sigma factor SigV   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00047,8637.714,7797.059,2441,35788.254,26469.107,15745,3673,3594,5175,"fig|536231.75.peg.47|RIL182_00047   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00049,2158,1379,1058,2787,1793,1602,1690,1327,2435,"fig|536231.75.peg.48|RIL182_00049   acetyl esterase family enzyme   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00050,3710.124,2255,1745,3631,1861,2737,3186,3337,5353,"fig|536231.75.peg.49|RIL182_00050   Tyrosyl-tRNA synthetase (EC 6.1.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00051,143.614,119.99,102,67,72.999,25,144.664,154,203.031,"fig|536231.75.peg.50|RIL182_00051   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00052,95.386,90.01,26,59,52.001,21,81.336,83,96.969,"fig|536231.75.peg.51|RIL182_00052   RNA polymerase sigma factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00053,275,221,80,142,173,58,73,87,89,"fig|536231.75.peg.52|RIL182_00053   ECF-type sigma factor negative effector   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00054,413,460,214,222,301,401,164,227,392,"fig|536231.75.peg.53|RIL182_00054   Hydrolase (HAD superfamily) in cluster with DUF1447   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00055,297,268,164,180,255,278,143,171,194,"fig|536231.75.peg.54|RIL182_00055   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00056,382,241,229,50,99,67,94,93,80,"fig|536231.75.peg.55|RIL182_00056   Substrate-specific component BioY of biotin ECF transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00057,354,265,75,68,80,41,98,118,140,"fig|536231.75.peg.56|RIL182_00057   Biotin synthase (EC 2.8.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00058,223,195,189,51,74,19,84,152,131,"fig|536231.75.peg.57|RIL182_00058   Dethiobiotin synthase BioD (EC 6.3.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00059,728,460,285,159,220,74,269,209,333,"fig|536231.75.peg.58|RIL182_00059   Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00060,200,188,31,177,129,148,83,95,212,"fig|536231.75.peg.59|RIL182_00060   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00061,85,70,59,16,8,26,130,331,255,"fig|536231.75.peg.60|RIL182_00061   Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00062,14,20,27,6,18,8,41,61,55,"fig|536231.75.peg.61|RIL182_00062   Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00063,2059.096,1464.046,1098,1192,809,1571,2782,3040,5822,"fig|536231.75.peg.62|RIL182_00063   Inner membrane protein YbiR, putative anion permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00064,1211,823,539,587,494,828,1058,1063,1712,"fig|536231.75.peg.63|RIL182_00064   Membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00065,18,22,5,9,2,6,31,16,21,"fig|536231.75.peg.64|RIL182_00065   Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00066,34,29,3,8,14,7,29,68,46,"fig|536231.75.peg.65|RIL182_00066   Lysophospholipase L2 (EC 3.1.1.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00067,52,61,12,38,14,44,37,64,113,"fig|536231.75.peg.66|RIL182_00067   Uncharacterized MFS-type transporter YxiO   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00068,15,13,0,18,5,13,0,0,24,"fig|536231.75.peg.67|RIL182_00068   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00069,100,98,42,98,39,29,111,142,91,"fig|536231.75.peg.68|RIL182_00069   Polyphosphate kinase (EC 2.7.4.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00070,116,93,46,72,15,39,18,24,55,"fig|536231.75.peg.69|RIL182_00070   Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00071,46,33,3,31,29,21,21,47,49,"fig|536231.75.peg.70|RIL182_00071   Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00072,37,27,10,22,15,28,30,50,28,"fig|536231.75.peg.71|RIL182_00072   Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00073,36,36,46,20,7,18,21,44,28,"fig|536231.75.peg.72|RIL182_00073   Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00074,25,18,13,25,36,12,87,35,61,"fig|536231.75.peg.73|RIL182_00074   Phosphate transport system regulatory protein PhoU   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00075,20122.547,14550.984,10508,11560,12822,17143,5848,5073,7646,"fig|536231.75.peg.74|RIL182_00075   Sodium-dependent phosphate transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00076,2637.182,2177.001,1112,1731,1795,1562,1420,1382,2889,"fig|536231.75.peg.75|RIL182_00076   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00077,2010,1463,997,1443,1711,2038,898,911,1531,"fig|536231.75.peg.76|RIL182_00077   Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00078,13936.595,9104.146,6254,11764,10169,7649,9402,8234,13776,"fig|536231.75.peg.77|RIL182_00078   DNA/RNA helicases, SNF2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,21,28,0,15,16,0,0,0,"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00079,729,686,358,597,763,1000,104,211,480,"fig|536231.75.peg.79|RIL182_00079   Putative manganese efflux pump MntP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00080,2451,2267,1251,2264,2671,3744,3902,2923,5496,"fig|536231.75.peg.80|RIL182_00080   Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00081,1049.072,693.542,313.041,1486.45,1100.603,686.087,491.196,398.798,838.117,"fig|536231.75.peg.81|RIL182_00081   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00082,12064.108,8799.711,6086.959,23140.55,13947.267,14917.913,33436.804,26816.202,43235.883,"fig|536231.75.peg.82|RIL182_00082   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00083,8100.002,5270.337,1594,4129,9197,517,815,917.065,1611,"fig|536231.75.peg.83|RIL182_00083   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00084,4782,5369.953,2258,2622,6578.996,528,248,399.935,867.996,"fig|536231.75.peg.84|RIL182_00084   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00085,5241.32,5048,2195,8800.013,8872,2617,3479,3236,4825,"fig|536231.75.peg.85|RIL182_00085   Glycerol uptake operon antiterminator regulatory protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00086,3497.199,2073.005,1135,5207,3052,3474,4889,4752,6760,"fig|536231.75.peg.86|RIL182_00086   FIG01032097: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00087,104,61,14,173,113.485,122,54,108,186,"fig|536231.75.peg.87|RIL182_00087   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00088,218,148,49,337,160.515,199,384,322,651.556,"fig|536231.75.peg.88|RIL182_00088   FIG00513240: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00089,3316,3939,1896,1827,1651,2072,418,516,765.444,"fig|536231.75.peg.89|RIL182_00089   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00090,1891,1422,989,3628,2044,2427,3279,3563,6653,"fig|536231.75.peg.90|RIL182_00090   FIG01031723: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00091,944,595,393,1502,845,834,1560,1406,2334,"fig|536231.75.peg.91|RIL182_00091   Tn916, transcriptional regulator, putative   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00092,11,4,10,17,2,5,22,13,19,"fig|536231.75.peg.92|RIL182_00092   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00093,100.861,58.026,24,109.048,65.597,104,94,146.248,73.529,"fig|536231.75.peg.93|RIL182_00093   FIG086557: Conjugation related protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00094,51364.324,83028.888,39381,96633.252,105776.471,46471.918,2333,2413.752,4993.471,"fig|536231.75.peg.94|RIL182_00094   Uncharacterized membrane spanning protein, contains VanZ-like domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00095,600,377,221,1186,691,396,921,747,1146,"fig|536231.75.peg.95|RIL182_00095   FIG00512738: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00096,569,427,265,1628.052,794,698,1013,1051,1241,"fig|536231.75.peg.96|RIL182_00096   Antirestriction protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00097,124.513,80.998,35.873,287.735,125.63,117,361,314.42,408.03,"fig|536231.75.peg.97|RIL182_00097   FIG00516843: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00098,1209.487,531.002,476.127,1705.522,913.37,1357,2606,2398.58,3728.97,"fig|536231.75.peg.98|RIL182_00098   FIG00520311: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00099,850,492,317,1186,551,714,2029,1586,2569,"fig|536231.75.peg.99|RIL182_00099   putative membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00100,279,200,138,351,180,337,972,715,907,"fig|536231.75.peg.100|RIL182_00100   lipoprotein, NLP/P60 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00101,169,107,81,164,128,184,185,178,367,"fig|536231.75.peg.101|RIL182_00101   FIG00513093: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00102,5858.192,4580.147,1042,21343.224,11187.568,6464.297,484.355,790.944,1395.144,"fig|536231.75.peg.102|RIL182_00102   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00103,18171.421,12357.783,5699,83570.781,39928.916,32178.383,4117.645,3630.056,5320.856,"fig|536231.75.peg.103|RIL182_00103   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00104,10100.589,6895.377,2686,54912.986,22147.946,19412.492,4856.36,3513.925,5387,"fig|536231.75.peg.104|RIL182_00104   Efflux ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00105,96,68,206,602,277,389,0,0,3,"fig|536231.75.peg.105|RIL182_00105   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00106,2891.143,1922.351,510.988,11698.603,5406.333,3467.462,446.536,429.872,782.221,"fig|536231.75.peg.106|RIL182_00106   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00107,4642.496,4192.539,2102.574,23811.457,11902.201,7930.185,2317.805,2306.99,3713.74,"fig|536231.75.peg.107|RIL182_00107   FIG00518185: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00108,1090.158,773.194,381.438,5175.336,2691.248,1998.861,1828.299,923.213,1238.039,"fig|536231.75.peg.108|RIL182_00108   ABC transporter-like sensor linked histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00109,1468,866,431,3962,3056.246,1856,5569.456,6056,8226,"fig|536231.75.peg.109|RIL182_00109   conjugative transposon conserved hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00110,294,154,81,583,364.754,174,1283.544,1321,1676,"fig|536231.75.peg.110|RIL182_00110   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00111,203.882,165,92,372,318.512,226,847.96,579,1055,"fig|536231.75.peg.111|RIL182_00111   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00112,19083.338,19754.891,9744,15934.353,12047.183,7177,9388.04,9026,11576,"fig|536231.75.peg.112|RIL182_00112   putative transposon integrase; Tn916 ORF3-like   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,1,0,0,0,0,5,0,0,"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00113,8329.182,5503.001,2607,16168,8512,6259,8837,9040,13285.004,"fig|536231.75.peg.114|RIL182_00113   Glycerol kinase (EC 2.7.1.30)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00114,4286.26,3602.002,1949,7034,3931,3850,2895,3041,4438,"fig|536231.75.peg.115|RIL182_00114   Glycerol uptake facilitator protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00115,2531,1535,833,11498.577,4615,5311,5628,5613,8309,"fig|536231.75.peg.116|RIL182_00115   Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00116,1939.557,1439,743,10753,4015,4935,7922,6625,9444,"fig|536231.75.peg.117|RIL182_00116   Putative oxidoreductase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00117,121.445,56,29,304,163,198,96,106,220,"fig|536231.75.peg.118|RIL182_00117   FIG00513440: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00118,3800.015,3694,2309,5044.462,4030,4190,2472,2201,4513,"fig|536231.75.peg.119|RIL182_00118   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00119,12272.063,7494,5247,10113,7916,6516,6662,6488,10125,"fig|536231.75.peg.120|RIL182_00119   Methionyl-tRNA synthetase (EC 6.1.1.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00120,4896.504,3209,2824,4869,3488,3202,4758,4461,7457.057,"fig|536231.75.peg.121|RIL182_00120   Glucosyltransferase (side chain biosynthesis) (EC 2.4.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00121,3781.066,4097,2448,5511,3975,4518,5933,5770,11366.943,"fig|536231.75.peg.122|RIL182_00121   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00122,40,45,49,52,20,31,45,16,34,"fig|536231.75.peg.123|RIL182_00122   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00123,5,10,0,12,1,0,45,0,27,"fig|536231.75.peg.124|RIL182_00123   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00124,6162,4761,2338,3727,3595.757,2616,3069,2237,3913,"fig|536231.75.peg.125|RIL182_00124   Uncharacterized metal-dependent hydrolase YcfH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00125,1553,1043,723,844,719,386,8592,8519,15748,"fig|536231.75.peg.126|RIL182_00125   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00126,3704.854,2454,1926,3069,2395,1191,13627,12164,21575.041,"fig|536231.75.peg.127|RIL182_00126   Biotin synthase related domain containing protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00127,21740.447,15490,8594,56903.452,31212.241,29704,17775,18800,27621.952,"fig|536231.75.peg.128|RIL182_00127   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00128,1056.037,1118.178,218,809.961,747.53,621,340.172,376,657.882,"fig|536231.75.peg.129|RIL182_00128   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00129,5746.069,4138.822,2517,4399.039,3795.627,2207,3849.828,3678,5425.166,"fig|536231.75.peg.130|RIL182_00129   SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00130,10535.2,9748.223,6919.414,4362,5172,3128,3291,2866,3972,"fig|536231.75.peg.131|RIL182_00130   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00131,40,37,5,45,15,6,25,15,48,"fig|536231.75.peg.132|RIL182_00131   Stage II sporulation protein D (SpoIID)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00132,88,46,45,27,67,7,30,42,18,"fig|536231.75.peg.133|RIL182_00132   Stage II sporulation protein related to metaloproteases (SpoIIQ)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00133,7119.009,5124,2831,5038,3896,3672,5304,4991,7975,"fig|536231.75.peg.134|RIL182_00133   Diguanylate cyclase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
