,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_00016,89,161,213,41,30,39,22,26,11,430,603,773,988,754,803.348,"fig|536231.75.peg.18|RIL182_00016   Aspartate 1-decarboxylase (EC 4.1.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00017,211,317,357,32,30,43,5,39,23,709,618,737,3033,2380,2670,"fig|536231.75.peg.19|RIL182_00017   Uncharacterized DUF1113 membrane protein family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00018,84,167,227,20,35,32,64,41,0,717,633,704,1957,1572,1561,"fig|536231.75.peg.20|RIL182_00018   Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,2,12,5,0,0,2,0,0,28,6,35,31,57,63,"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00019,72,120,125,10,23,15,6,18,0,316,283,339,1006,813,733,"fig|536231.75.peg.22|RIL182_00019   Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00020,130,262,277,28,41,42,51,10,11,542,450,525,2739,2252,2356,"fig|536231.75.peg.23|RIL182_00020   Oxidoreductase, Gfo/Idh/MocA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00028,1551,3109,3435,233,306,311,249,470,280,10851,10233,12679,19054,14356,16902,"fig|536231.75.peg.24|RIL182_00028   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00029,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,"fig|536231.75.peg.25|RIL182_00029   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00030,4,2,2,6,0,0,0,0,0,31,11,37,7,10,9,"fig|536231.75.peg.26|RIL182_00030   Transposase, IS30 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00031,11,1,2,0,0,5,0,0,0,0,32,13,22,27,14.484,"fig|536231.75.peg.27|RIL182_00031   mobilization/transfer protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00032,0,1,3,0,0,0,0,0,0,0,0,0,40,17,4.516,"fig|536231.75.peg.28|RIL182_00032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00033,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,"fig|536231.75.peg.29|RIL182_00033   FIG00519257: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,3,2,1,2,5,0,15,0,56,52,54,132,46,106,"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00034,6,4,26,3,0,5,0,0,14,39,64,0,69,76,121,"fig|536231.75.peg.31|RIL182_00034   FIG00529820: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00035,0,1,0,3,0,0,0,0,0,0,0,0,9.072,10,9,"fig|536231.75.peg.32|RIL182_00035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,3,1,1,0,0,0,0,0,8,16,45,18.928,31,8,"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00036,27,41,52,8,29,43,20,56,38,559,552,500,2077,1294,1641,"fig|536231.75.peg.34|RIL182_00036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00037,19,17,24,8,12,5,22,4,0,424,423,433,740.835,646,674,"fig|536231.75.peg.36|RIL182_00037   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00038,4,4,18,3,13,0,9,0,23,59,143,144,325.165,194,245,"fig|536231.75.peg.37|RIL182_00038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00039,154,246,318.001,51,23,30,0,48,18,743,708,880,2538,1665,2430,"fig|536231.75.peg.38|RIL182_00039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00040,118,163,168,18,50,21,4,7,10,208,315,314,944,471,741,"fig|536231.75.peg.39|RIL182_00040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00041,11,7,11,2,4,8,13,6,0,94,109.805,95,272,173.525,269,"fig|536231.75.peg.40|RIL182_00041   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00042,53,56,99,29,34,30,2,94,4,436,407.195,693,1499,939.475,1321,"fig|536231.75.peg.41|RIL182_00042   putative secreted protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,3,0,0,9,0,0,0,0,0,0,12,3,20,"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00043,5,16,23,7,16,4,0,0,0,37,15,82,137,80,93,"fig|536231.75.peg.43|RIL182_00043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00044,41,64,97,19,22,24,6,0,11,237,281,166,657,437,612,"fig|536231.75.peg.44|RIL182_00044   protein of unknown function DUF1214   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00045,99,136,151,10,42,57,2,30,18,581,622,1107,1044,749,1028,"fig|536231.75.peg.45|RIL182_00045   Alkyl sulfatase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00046,440,627,530,285,502,313,15,8,24,114,147,132,553,350,285,"fig|536231.75.peg.46|RIL182_00046   RNA polymerase sigma factor SigV   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00047,394,913,897,543,910,701,132,65,33,211,259,337,1042,866,870,"fig|536231.75.peg.47|RIL182_00047   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00049,128,132,166,33,46,34,21,11,10,72,56,137,138,134,172,"fig|536231.75.peg.48|RIL182_00049   acetyl esterase family enzyme   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00050,194,298,482,48,66,38,0,12,0,130,106,217,670,514,570,"fig|536231.75.peg.49|RIL182_00050   Tyrosyl-tRNA synthetase (EC 6.1.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00051,12,7,15,6,0,3,16,8,4,56,12,46,179,100,163,"fig|536231.75.peg.50|RIL182_00051   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00052,9,5,10,0,0,4,0,0,0,0,92,22,95,77,108,"fig|536231.75.peg.51|RIL182_00052   RNA polymerase sigma factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00053,22,15,18,6,3,7,1,13,0,38,46,83,314,272,208,"fig|536231.75.peg.52|RIL182_00053   ECF-type sigma factor negative effector   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00054,15,46,57,6,4,7,0,0,0,52,21,61,181,125,114,"fig|536231.75.peg.53|RIL182_00054   Hydrolase (HAD superfamily) in cluster with DUF1447   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00055,24,41,62,15,19,7,0,0,0,70,73,2,243,174,151,"fig|536231.75.peg.54|RIL182_00055   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00056,28,17,24,2,2,0,0,0,0,11,8,0,30,29,53,"fig|536231.75.peg.55|RIL182_00056   Substrate-specific component BioY of biotin ECF transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00057,5,26,39,0,3,1,0,0,0,14,19,40,94,66,58,"fig|536231.75.peg.56|RIL182_00057   Biotin synthase (EC 2.8.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00058,11,25,7,0,0,0,13,0,0,24,17,0,81,86,71,"fig|536231.75.peg.57|RIL182_00058   Dethiobiotin synthase BioD (EC 6.3.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00059,40,58,107,1,6,7,11,0,0,110,71,213,198,142,158,"fig|536231.75.peg.58|RIL182_00059   Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00060,13,13,25,1,0,1,0,0,0,11,0,18,39,21,112,"fig|536231.75.peg.59|RIL182_00060   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00061,0,10,8,0,0,0,0,0,0,27,14,74,74,100,55,"fig|536231.75.peg.60|RIL182_00061   Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00062,2,0,1,0,0,0,0,2,0,11,0,9,11,37,14,"fig|536231.75.peg.61|RIL182_00062   Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00063,57,83,166,41,45,34,31,33,1,433,612,779,2597,1678,2139,"fig|536231.75.peg.62|RIL182_00063   Inner membrane protein YbiR, putative anion permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00064,31,50,144,29,30,29,46,22,0,428,431,593,1406,910,1231,"fig|536231.75.peg.63|RIL182_00064   Membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00065,0,0,4,1,0,0,0,0,0,0,8,0,17,17,40,"fig|536231.75.peg.64|RIL182_00065   Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00066,0,0,0,1,0,0,0,0,0,21,27,0,13,19,41,"fig|536231.75.peg.65|RIL182_00066   Lysophospholipase L2 (EC 3.1.1.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00067,0,4,5,1,2,1,4,0,0,11,16,0,106,66,88,"fig|536231.75.peg.66|RIL182_00067   Uncharacterized MFS-type transporter YxiO   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00068,5,1,0,0,0,0,0,0,0,0,9,0,46,44,37,"fig|536231.75.peg.67|RIL182_00068   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00069,4,3,12,0,0,2,0,0,0,19,18,82,146,134,132,"fig|536231.75.peg.68|RIL182_00069   Polyphosphate kinase (EC 2.7.4.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00070,4,11,11,2,5,0,0,8,0,41,25,50,90,70,78,"fig|536231.75.peg.69|RIL182_00070   Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00071,1,8,1,0,0,0,0,0,0,0,12,55,78,48,78,"fig|536231.75.peg.70|RIL182_00071   Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00072,1,7,2,0,0,0,0,0,0,0,20,11,24,19,18,"fig|536231.75.peg.71|RIL182_00072   Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00073,0,2,4,0,0,0,8,0,0,0,8,29,75,36,12,"fig|536231.75.peg.72|RIL182_00073   Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00074,0,4,7,0,0,0,0,0,0,21,26,19,50,17,31,"fig|536231.75.peg.73|RIL182_00074   Phosphate transport system regulatory protein PhoU   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00075,679,1348,1970,117,98,86,43,124,49,2245,1793,2692,2923,2041,2754,"fig|536231.75.peg.74|RIL182_00075   Sodium-dependent phosphate transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00076,116,242,291,24,30,15,6,39,7,666,712,803,1260,1140,1104,"fig|536231.75.peg.75|RIL182_00076   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00077,110,192,304,28,14,7,0,0,0,260,285,235,678,386,683,"fig|536231.75.peg.76|RIL182_00077   Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00078,690,1086,1556,129,130,137,57,96,62,3004,2468,3389,4931,3938,4468,"fig|536231.75.peg.77|RIL182_00078   DNA/RNA helicases, SNF2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00079,49,58,63,63,86,69,2,25,37,724,732,558,3950,3365,3517,"fig|536231.75.peg.79|RIL182_00079   Putative manganese efflux pump MntP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00080,87,198,245,208,168,147,101,247,142,7564,7363,8912,17253,13408,15229,"fig|536231.75.peg.80|RIL182_00080   Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00081,26.957,157.628,171.383,58.245,26,35.699,0,20.84,33,275.188,313.793,345.897,1132.585,1020.012,724.813,"fig|536231.75.peg.81|RIL182_00081   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00082,933.043,1582.372,1847.617,404.755,473,380.301,576,800.16,372,15259.812,14125.207,17497.103,28746.415,20348.988,25516.079,"fig|536231.75.peg.82|RIL182_00082   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00083,384,1021,1722,126,123,124,42,53,12,688,1038,512,2691,2116,1778,"fig|536231.75.peg.83|RIL182_00083   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00084,354,831,1225,123,84,85,39,7,72,898,1233,553,2854,2313,2166,"fig|536231.75.peg.84|RIL182_00084   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00085,176,400,492,31,10,26,34,72,19,1880,1103,2001,1895,1357,1611,"fig|536231.75.peg.85|RIL182_00085   Glycerol uptake operon antiterminator regulatory protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00086,427,555,619,391,598,470,227,194,41,171,223,354,446,298,341,"fig|536231.75.peg.86|RIL182_00086   FIG01032097: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00087,5,23,17,15,25,12,0,0,0,8,10,0,9,36,40,"fig|536231.75.peg.87|RIL182_00087   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00088,6,43,41,20,47,32,9,33,15,0,22,30,127,87,73,"fig|536231.75.peg.88|RIL182_00088   FIG00513240: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00089,41,89,114,24,27,18,56,59,54,652,346,665,361,241,361,"fig|536231.75.peg.89|RIL182_00089   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00090,268,297,336,151,222,168,75,60,24,243,287,312,725,481,465,"fig|536231.75.peg.90|RIL182_00090   FIG01031723: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00091,81,146,136,83,69,118,89,71,31,387,317,312,424,366,339,"fig|536231.75.peg.91|RIL182_00091   Tn916, transcriptional regulator, putative   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00092,0,6.994,0,0,1,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.92|RIL182_00092   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00093,12,4.006,19,3,1,7,4,10,0,10,0,0,3,0,2,"fig|536231.75.peg.93|RIL182_00093   FIG086557: Conjugation related protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00094,698,652,721,50,77,35,47,122,39,4489,3367,4719,2169,2465,2879,"fig|536231.75.peg.94|RIL182_00094   Uncharacterized membrane spanning protein, contains VanZ-like domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00095,62,79,86,47,29,34,32,50,20,61,105,126,132,125,126,"fig|536231.75.peg.95|RIL182_00095   FIG00512738: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00096,35,63.998,81,36.373,31,41,22,27,14,101,49,79,123,72,96,"fig|536231.75.peg.96|RIL182_00096   Antirestriction protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00097,20.888,16.002,19,12.451,11.056,29,0,52.661,15,18,21,28,16,18,10,"fig|536231.75.peg.97|RIL182_00097   FIG00516843: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00098,148.112,175,231,124.176,186.944,137,15,89.339,31,38,86,158,263,164,201,"fig|536231.75.peg.98|RIL182_00098   FIG00520311: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00099,78,159,163,73,126,91,45,32,63,134,99,273,307,193,226,"fig|536231.75.peg.99|RIL182_00099   putative membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00100,60,51,52,16,35,7,0,48,32,133,63,92,47,34,46,"fig|536231.75.peg.100|RIL182_00100   lipoprotein, NLP/P60 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00101,11,15,32,13,31,16,0,0,0,6,29,32,55,46,52,"fig|536231.75.peg.101|RIL182_00101   FIG00513093: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00102,18,9,4,45,70,48,12,34,9,191,145.139,83,1148.338,803.084,887,"fig|536231.75.peg.102|RIL182_00102   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00103,49,45,53,141,190,146,60,240,131,2364,1931.861,2452,3605.662,3104.916,3483,"fig|536231.75.peg.103|RIL182_00103   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00104,16,23,16,71,104,96,71,49,43,1573,1117.173,1772.292,1716.363,1326,1674,"fig|536231.75.peg.104|RIL182_00104   Efflux ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00105,0,2,1,0,2,0,0,0,0,0,14,0,11,12,6,"fig|536231.75.peg.105|RIL182_00105   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00106,13,11,19,21,15,16,0,16,12,140,126.816,134.936,447.868,513.704,554.228,"fig|536231.75.peg.106|RIL182_00106   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00107,42,81.975,68,71.956,116,73,8,85.787,47.64,1015.584,1028.107,1302.641,1643.532,1417.704,1468.871,"fig|536231.75.peg.107|RIL182_00107   FIG00518185: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00108,12,7.025,8,10.044,21,12,20,107.213,74.36,1154.416,643.904,1362.132,714.237,715.592,802.901,"fig|536231.75.peg.108|RIL182_00108   ABC transporter-like sensor linked histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00109,145,207,261,152,253,185,113,362,297,637,303,646,145,89,133,"fig|536231.75.peg.109|RIL182_00109   conjugative transposon conserved hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00110,44,28,27,18,17,18,15,9,4,29,25,14,16,12,27,"fig|536231.75.peg.110|RIL182_00110   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00111,29,39,50,49,21,27,0,10,0,71,26,0,28,32,16,"fig|536231.75.peg.111|RIL182_00111   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00112,1060,1788,1838,355,424,440,200,427,199,3356,2595,4000,3428,2889,3154,"fig|536231.75.peg.112|RIL182_00112   putative transposon integrase; Tn916 ORF3-like   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00113,593,1297,1372,91,127,121,43,18,56,1686,1539,1478,3291,2301,2629,"fig|536231.75.peg.114|RIL182_00113   Glycerol kinase (EC 2.7.1.30)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00114,232,451,486,22,55,59,2,16,3,830,727,777,1180,670,864,"fig|536231.75.peg.115|RIL182_00114   Glycerol uptake facilitator protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00115,243,306,251,28,23,30,10,21,74,1504,1370,1425,2615,1805,2184,"fig|536231.75.peg.116|RIL182_00115   Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00116,127,236,191,26,36,22,58,53,57,1899.195,2042,2253,3799,2898.086,3528,"fig|536231.75.peg.117|RIL182_00116   Putative oxidoreductase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00117,6,9,12,0,7,5,0,0,5,36.805,49,84,183,170.914,141,"fig|536231.75.peg.118|RIL182_00117   FIG00513440: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00118,346,461,602,17,20,23,6,0,0,276,225,338,814,575,700,"fig|536231.75.peg.119|RIL182_00118   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00119,606,897,1379,114,144,118,33,36,0,362,238,509,618,498,496,"fig|536231.75.peg.120|RIL182_00119   Methionyl-tRNA synthetase (EC 6.1.1.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00120,234,401,568,61,66,80,34,99,44,305,231,370,418,367,390,"fig|536231.75.peg.121|RIL182_00120   Glucosyltransferase (side chain biosynthesis) (EC 2.4.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00121,197,446,559,106,105,108,118,133,35,3269,3490,3571,4731,4513,4196,"fig|536231.75.peg.122|RIL182_00121   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00122,0,3,10,7,0,0,0,0,0,14,15,1,91,106,96,"fig|536231.75.peg.123|RIL182_00122   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00123,0,2,1,1,1,0,0,0,0,0,15,10,46,24,36,"fig|536231.75.peg.124|RIL182_00123   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00124,118,453,660,34,27,14,21,55,10,1265,843,1440,1018,902,910,"fig|536231.75.peg.125|RIL182_00124   Uncharacterized metal-dependent hydrolase YcfH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00125,465,385,436,116,156,117,33,17,42,358,479,504,7410,5558,6452,"fig|536231.75.peg.126|RIL182_00125   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
