,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
57,RIL182_00058,Dethiobiotin synthase BioD (EC 6.3.3.3),ko:K01935,6.3.3.3,COG0132,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",H
58,RIL182_00059,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),"ko:K00833,ko:K03851,ko:K12256,ko:K15372","2.6.1.113,2.6.1.55,2.6.1.62,2.6.1.77",COG0161,Aminotransferase class-III,H
59,RIL182_00060,hypothetical protein,-,-,2DQE4,-,-
60,RIL182_00061,Pyruvate:ferredoxin oxidoreductase%2C alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase%2C beta subunit (EC 1.2.7.1),"ko:K00169,ko:K00170",1.2.7.1,COG0674,Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin,C
61,RIL182_00062,Pyruvate:ferredoxin oxidoreductase%2C gamma subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase%2C delta subunit (EC 1.2.7.1),ko:K00172,1.2.7.1,COG1014,oxidoreductase gamma subunit,C
62,RIL182_00063,Inner membrane protein YbiR%2C putative anion permease,-,-,COG1055,Citrate transporter,P
63,RIL182_00064,Membrane protein,-,-,COG0697,COG0697 Permeases of the drug metabolite transporter (DMT) superfamily,EG
64,RIL182_00065,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),ko:K01126,3.1.4.46,COG0584,glycerophosphoryl diester phosphodiesterase,C
65,RIL182_00066,Lysophospholipase L2 (EC 3.1.1.5),ko:K01048,3.1.1.5,COG2267,Alpha beta,I
66,RIL182_00067,Uncharacterized MFS-type transporter YxiO,ko:K06902,-,COG2270,Major Facilitator,S
67,RIL182_00068,hypothetical protein,-,-,COG2357,RelA SpoT domain protein,S
68,RIL182_00069,Polyphosphate kinase (EC 2.7.4.1),ko:K00937,2.7.4.1,COG0855,Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP),H
69,RIL182_00070,Phosphate ABC transporter%2C substrate-binding protein PstS (TC 3.A.1.7.1),ko:K02040,-,COG0226,phosphate binding protein,P
70,RIL182_00071,Phosphate ABC transporter%2C permease protein PstC (TC 3.A.1.7.1),ko:K02037,-,COG0573,probably responsible for the translocation of the substrate across the membrane,P
71,RIL182_00072,Phosphate ABC transporter%2C permease protein PstA (TC 3.A.1.7.1),ko:K02038,-,COG0581,phosphate transport system permease,P
72,RIL182_00073,Phosphate ABC transporter%2C ATP-binding protein PstB (TC 3.A.1.7.1),ko:K02036,3.6.3.27,COG1117,Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system,P
73,RIL182_00074,Phosphate transport system regulatory protein PhoU,ko:K02039,-,COG0704,Plays a role in the regulation of phosphate uptake,P
74,RIL182_00075,Sodium-dependent phosphate transporter,ko:K03324,-,COG1283,Na Pi-cotransporter,P
75,RIL182_00076,Phosphate regulon transcriptional regulatory protein PhoB (SphR),ko:K07658,-,COG0745,Response regulator receiver domain protein,T
76,RIL182_00077,Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3),ko:K07636,2.7.13.3,COG5002,Histidine kinase,T
77,RIL182_00078,DNA/RNA helicases%2C SNF2 family,ko:K08282,2.7.11.1,COG0553,snf2 family,L
78,RIL182_00079,Putative manganese efflux pump MntP,-,-,COG1971,Probably functions as a manganese efflux pump,P
79,RIL182_00080,Inner membrane protein YrbG%2C predicted calcium/sodium:proton antiporter,ko:K07301,-,COG0530,K -dependent Na Ca exchanger family protein,P
80,RIL182_00081,hypothetical protein,-,-,2DPVJ,-,-
81,RIL182_00082,hypothetical protein,-,-,2A7KX,-,-
82,RIL182_00083,hypothetical protein,-,-,COG2755,COG2755 Lysophospholipase L1 and related esterases,E
83,RIL182_00084,hypothetical protein,NA,NA,NA,NA,NA
84,RIL182_00085,Glycerol uptake operon antiterminator regulatory protein,ko:K02443,-,COG1954,Glycerol-3-phosphate responsive antiterminator,K
85,RIL182_00086,FIG01032097: hypothetical protein,-,-,COG4932,Cna protein B-type domain,M
86,RIL182_00087,hypothetical protein,-,-,2BXTH,COG NOG10998 non supervised orthologous group,S
87,RIL182_00088,FIG00513240: hypothetical protein,-,-,28NIV,Bacterial protein of unknown function (DUF961),S
88,RIL182_00089,hypothetical protein,-,-,COG1396,"Psort location CytoplasmicMembrane, score",K
89,RIL182_00090,FIG01031723: hypothetical protein,-,-,COG1674,COG COG1674 DNA segregation ATPase FtsK SpoIIIE and related proteins,D
90,RIL182_00091,Tn916%2C transcriptional regulator%2C putative,ko:K07467,-,COG2946,"Psort location Cytoplasmic, score 8.87",L
91,RIL182_00092,hypothetical protein,-,-,2E3NJ,Protein of unknown function (DUF3789),S
92,RIL182_00093,FIG086557: Conjugation related protein,-,-,2C9BX,"Psort location CytoplasmicMembrane, score",S
93,RIL182_00094,Uncharacterized membrane spanning protein%2C contains VanZ-like domain,-,-,COG4767,VanZ like family,V
94,RIL182_00095,FIG00512738: hypothetical protein,-,-,COG4734,Antirestriction protein (ArdA),S
95,RIL182_00096,Antirestriction protein,-,-,COG4734,Antirestriction protein (ArdA),S
96,RIL182_00097,FIG00516843: hypothetical protein,-,-,28I70,COG NOG10997 non supervised orthologous group,S
97,RIL182_00098,FIG00520311: hypothetical protein,-,-,COG0433,COG NOG05968 non supervised orthologous group,S
98,RIL182_00099,putative membrane protein,-,-,COG3064,"Psort location CytoplasmicMembrane, score",M
99,RIL182_00100,lipoprotein%2C NLP/P60 family,-,-,COG0741,Lysozyme-like,M
100,RIL182_00101,FIG00513093: hypothetical protein,-,-,28IGH,Conjugative transposon protein TcpC,S
101,RIL182_00102,hypothetical protein,ko:K07979,-,COG1725,helix_turn_helix gluconate operon transcriptional repressor,K
102,RIL182_00103,ABC transporter%2C ATP-binding protein,ko:K01990,-,COG1131,"Psort location CytoplasmicMembrane, score",V
103,RIL182_00104,Efflux ABC transporter%2C permease protein,-,-,2DG4Z,ABC-2 family transporter protein,S
104,RIL182_00105,hypothetical protein,NA,NA,NA,NA,NA
105,RIL182_00106,hypothetical protein,-,-,2ECQJ,Domain of unknown function (DUF4177),S
106,RIL182_00107,FIG00518185: hypothetical protein,-,-,COG0582,viral genome integration into host DNA,L
107,RIL182_00108,ABC transporter-like sensor linked histidine kinase,-,-,COG0642,ATPase histidine kinase DNA gyrase B HSP90 domain protein,T
108,RIL182_00109,conjugative transposon conserved hypothetical protein,-,-,COG1595,"Sigma-70, region 4",K
109,RIL182_00110,hypothetical protein,-,-,2BVCS,Helix-turn-helix domain,S
110,RIL182_00111,Mobile element protein,-,-,2CCB2,Excisionase from transposon Tn916,L
111,RIL182_00112,putative transposon integrase%3B Tn916 ORF3-like,-,-,COG0582,Belongs to the 'phage' integrase family,L
112,RIL182_00113,Glycerol kinase (EC 2.7.1.30),ko:K00864,2.7.1.30,COG0554,Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,F
113,RIL182_00114,Glycerol uptake facilitator protein,ko:K02440,-,COG0580,Belongs to the MIP aquaporin (TC 1.A.8) family,G
114,RIL182_00115,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),ko:K00111,1.1.5.3,COG0579,BFD-like [2Fe-2S] binding domain,S
115,RIL182_00116,Putative oxidoreductase,-,-,COG0446,FAD dependent oxidoreductase,C
116,RIL182_00117,FIG00513440: hypothetical protein,-,-,COG3862,Protein of unknown function (DUF1667),S
117,RIL182_00118,hypothetical protein,NA,NA,NA,NA,NA
118,RIL182_00119,Methionyl-tRNA synthetase (EC 6.1.1.10),ko:K01874,6.1.1.10,COG0073,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation,J
119,RIL182_00120,Glucosyltransferase (side chain biosynthesis) (EC 2.4.1.-),-,-,2A7KX,-,-
120,RIL182_00121,hypothetical protein,-,-,2ANQY,-,-
121,RIL182_00122,hypothetical protein,NA,NA,NA,NA,NA
122,RIL182_00123,hypothetical protein,NA,NA,NA,NA,NA
123,RIL182_00124,Uncharacterized metal-dependent hydrolase YcfH,ko:K03424,-,COG0084,"hydrolase, TatD family",L
124,RIL182_00125,hypothetical protein,-,-,2DBGV,"Psort location Cytoplasmic, score 8.87",S
125,RIL182_00126,Biotin synthase related domain containing protein,-,-,COG4277,DNA modification repair radical SAM protein,S
126,RIL182_00127,Methyl-accepting chemotaxis protein,ko:K03406,-,COG0840,methyl-accepting chemotaxis protein,NT
127,RIL182_00128,hypothetical protein,NA,NA,NA,NA,NA
128,RIL182_00129,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),ko:K02528,2.1.1.182,COG0030,Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits,J
129,RIL182_00130,hypothetical protein,NA,NA,NA,NA,NA
130,RIL182_00131,Stage II sporulation protein D (SpoIID),ko:K06381,-,COG2385,stage II sporulation protein D,D
131,RIL182_00132,Stage II sporulation protein related to metaloproteases (SpoIIQ),-,-,COG0739,COG COG0739 Membrane proteins related to metalloendopeptidases,M
132,RIL182_00133,Diguanylate cyclase,-,-,COG0457,diguanylate cyclase,T
133,RIL182_00134,DEAD-box ATP-dependent RNA helicase DeaD (%3D CshA) (EC 3.6.4.13),ko:K05592,3.6.4.13,COG0513,Belongs to the DEAD box helicase family,L
134,RIL182_00135,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,"Psort location CytoplasmicMembrane, score",V
135,RIL182_00136,Phosphate regulon transcriptional regulatory protein PhoB (SphR),-,-,COG0745,response regulator receiver,KT
136,RIL182_00137,Two-component system sensor histidine kinase,-,-,COG0642,Histidine kinase,T
137,RIL182_00138,hypothetical protein,-,-,2DM5I,"Psort location Cytoplasmic, score",S
138,RIL182_00139,Reverse rubrerythrin,-,-,COG1592,"Psort location Cytoplasmic, score",C
139,RIL182_00140,Peroxide stress regulator PerR%2C FUR family,ko:K09825,-,COG0735,Belongs to the Fur family,P
140,RIL182_00141,hypothetical protein,-,-,COG2199,Cache domain,T
141,RIL182_00142,hypothetical protein,-,-,2BZEU,"Psort location Cytoplasmic, score",S
142,RIL182_00143,Ribosomal-protein-S5p-alanine acetyltransferase (EC 2.3.1.128),ko:K03790,2.3.1.128,COG1670,Acetyltransferase GNAT family,J
143,RIL182_00144,tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),ko:K11991,3.5.4.33,COG0590,Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2),FJ
144,RIL182_00145,hypothetical protein,-,-,COG5433,"PFAM Transposase, IS4-like",L
145,RIL182_00146,hypothetical protein,-,-,2E5GB,Psort location,S
146,RIL182_00147,Phosphate acetyltransferase (EC 2.3.1.8),ko:K00625,2.3.1.8,COG0280,phosphate acetyltransferase,C
147,RIL182_00148,Putative inner membrane protein,-,-,COG0534,Mate efflux family protein,V
148,RIL182_00149,Cytidylate kinase (EC 2.7.4.25),-,-,COG1102,"Psort location Cytoplasmic, score",F
149,RIL182_00150,Putative transmembrane protein,-,-,COG1055,Na H antiporter,P
150,RIL182_00151,tRNA-Pro,NA,NA,NA,NA,NA
151,RIL182_00152,hypothetical protein,NA,NA,NA,NA,NA
152,RIL182_00153,hypothetical protein,-,-,COG0582,Phage integrase family,L
153,RIL182_00154,hypothetical protein,-,-,COG4636,Putative restriction endonuclease,S
154,RIL182_00155,Uncharacterized protein clustered with Type I restriction-modification system,-,-,COG3943,Virulence protein RhuM family,S
155,RIL182_00156,6-phosphofructokinase (EC 2.7.1.11),ko:K21071,"2.7.1.11,2.7.1.90",COG0205,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis",H
156,RIL182_00157,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),ko:K02343,2.7.7.7,COG2812,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity",L
157,RIL182_00158,Nucleoid-associated protein YaaK,ko:K09747,-,COG0718,"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection",S
158,RIL182_00159,hypothetical protein,-,-,28P0Q,"Psort location Cytoplasmic, score",S
159,RIL182_00160,Phage integrase,-,-,COG0582,Phage integrase family,L
160,RIL182_00161,hypothetical protein,-,-,2ENS3,Global regulator protein family,S
161,RIL182_00162,Flagellin protein FlaA,ko:K02406,-,COG1344,Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella,N
162,RIL182_00163,Lysine-N-methylase (EC 2.1.1.-),NA,NA,NA,NA,NA
163,RIL182_00164,hypothetical protein,-,-,2DZI1,-,-
164,RIL182_00165,Phosphoglycerate mutase (EC 5.4.2.11),-,-,COG0406,"Cytoplasmic, score 8.87",G
165,RIL182_00166,hypothetical protein,ko:K02342,2.7.7.7,COG2176,EXOIII,L
166,RIL182_00167,hypothetical protein,-,-,2ERQJ,-,-
167,RIL182_00168,hypothetical protein,-,-,2E7J1,-,-
168,RIL182_00169,Acylphosphate phosphohydrolase (EC 3.6.1.7),ko:K01512,3.6.1.7,COG1254,Acylphosphatase,C
169,RIL182_00170,ABC transporter%2C substrate-binding protein (cluster 3%2C basic aa/glutamine/opines),-,-,COG0834,Bacterial periplasmic substrate-binding proteins,ET
170,RIL182_00171,hypothetical protein,-,-,COG0642,His Kinase A (phosphoacceptor) domain,T
171,RIL182_00172,Uncharacterized UPF0750 membrane protein,-,-,COG1284,"Psort location CytoplasmicMembrane, score",S
172,RIL182_00173,N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23),ko:K00972,"2.7.7.23,2.7.7.83",COG4284,"Psort location Cytoplasmic, score",G
173,RIL182_00174,GTP pyrophosphokinase (EC 2.7.6.5),ko:K07816,2.7.6.5,COG2357,guanosine tetraphosphate metabolic process,S
174,RIL182_00175,hypothetical protein,-,-,COG0708,double-stranded DNA 3'-5' exodeoxyribonuclease activity,L
175,RIL182_00176,hypothetical protein,NA,NA,NA,NA,NA
176,RIL182_00177,no significant homology.,-,-,2BYWB,Protein of unknown function (DUF3793),S
177,RIL182_00178,Flavodoxin,-,-,COG0716,flavodoxin,C
178,RIL182_00179,Prevent host death protein%2C Phd antitoxin,ko:K19165,-,2E4DC,Antitoxin component of a toxin-antitoxin (TA) module,S
179,RIL182_00180,Death on curing protein%2C Doc toxin,ko:K07341,-,COG3654,TIGRFAM death-on-curing family protein,S
180,RIL182_00181,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,MATE efflux family protein,V
181,RIL182_00182,Repressor CsoR of the copZA operon,ko:K21600,-,COG1937,"PFAM Uncharacterised BCR, COG1937",S
182,RIL182_00183,Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4),"ko:K01533,ko:K17686","3.6.3.4,3.6.3.54",COG2217,"ATPase, P-type (transporting), HAD superfamily, subfamily IC",P
183,RIL182_00184,hypothetical protein,-,-,2EIM1,-,-
184,RIL182_00185,Recombination protein RecR,ko:K06187,-,COG0353,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO,L
185,RIL182_00186,Transketolase%2C N-terminal section (EC 2.2.1.1),ko:K00615,2.2.1.1,COG3959,"Transketolase, thiamine diphosphate binding domain",G
186,RIL182_00187,Transketolase%2C C-terminal section (EC 2.2.1.1),ko:K00615,2.2.1.1,COG3958,Transketolase,G
187,RIL182_00188,hypothetical protein,-,-,COG1652,Lysin motif,S
188,RIL182_00189,FIG01032175: hypothetical protein,-,-,2C3W5,"Psort location Cytoplasmic, score 8.87",S
189,RIL182_00190,FIG01020216: hypothetical protein,-,-,2DMJ6,Colicin V production protein,S
190,RIL182_00191,SSU rRNA ## 16S rRNA%2C small subunit ribosomal RNA,NA,NA,NA,NA,NA
191,RIL182_00192,5S ribosomal RNA,NA,NA,NA,NA,NA
192,RIL182_00193,LSU rRNA ## 23S rRNA%2C large subunit ribosomal RNA,NA,NA,NA,NA,NA
193,RIL182_00194,tRNA-Asp,NA,NA,NA,NA,NA
194,RIL182_00195,tRNA-Val-TAC,NA,NA,NA,NA,NA
195,RIL182_00196,tRNA-Thr,NA,NA,NA,NA,NA
196,RIL182_00197,tRNA-Tyr,NA,NA,NA,NA,NA
197,RIL182_00198,tRNA-Met,NA,NA,NA,NA,NA
198,RIL182_00199,tRNA-Phe,NA,NA,NA,NA,NA
199,RIL182_00200,tRNA-Lys,NA,NA,NA,NA,NA
200,RIL182_00201,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),-,-,2F0A9,-,-
201,RIL182_00202,hypothetical protein,-,-,2DIV4,-,-
202,RIL182_00203,ATP synthase F0 sector subunit a (EC 3.6.3.14),ko:K02108,-,COG0356,it plays a direct role in the translocation of protons across the membrane,C
203,RIL182_00204,ATP synthase F0 sector subunit c (EC 3.6.3.14),ko:K02110,-,COG0636,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",C
204,RIL182_00205,ATP synthase F0 sector subunit b (EC 3.6.3.14),ko:K02109,-,COG0711,"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",C
205,RIL182_00206,ATP synthase delta chain (EC 3.6.3.14),ko:K02113,-,COG0712,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",C
206,RIL182_00207,ATP synthase alpha chain (EC 3.6.3.14),ko:K02111,3.6.3.14,COG0056,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,C
207,RIL182_00208,ATP synthase gamma chain (EC 3.6.3.14),ko:K02115,-,COG0224,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,C
208,RIL182_00209,ATP synthase beta chain (EC 3.6.3.14),ko:K02112,3.6.3.14,COG0055,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,C
209,RIL182_00210,ATP synthase epsilon chain (EC 3.6.3.14),ko:K02114,-,COG0355,Produces ATP from ADP in the presence of a proton gradient across the membrane,C
210,RIL182_00211,Transcriptional regulator%2C AraC family,-,-,COG1917,Cupin domain,K
211,RIL182_00212,beta-glucosidase (EC 3.2.1.21),ko:K05349,3.2.1.21,COG1472,Fibronectin type III-like domain,G
212,RIL182_00213,beta-glucosidase (EC 3.2.1.21),ko:K05349,3.2.1.21,COG1472,Glycosyl hydrolase family 3 N-terminal domain protein,G
213,RIL182_00214,hypothetical protein,ko:K01218,3.2.1.78,COG4124,Belongs to the glycosyl hydrolase 26 family,G
214,RIL182_00215,ABC transporter%2C ATP-binding protein (cluster 3%2C basic aa/glutamine/opines),ko:K10010,-,COG1126,ABC transporter,E
215,RIL182_00216,Cystine ABC transporter%2C permease protein,ko:K10009,-,COG0765,"acid ABC transporter, permease protein, 3-TM region, His Glu Gln Arg opine",E
216,RIL182_00217,ABC transporter%2C substrate-binding protein (cluster 3%2C basic aa/glutamine/opines),ko:K02424,-,COG0834,Belongs to the bacterial solute-binding protein 3 family,ET
