,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,original_tags
RIL182_00041,16,8,19,25,0,0,30.998,0,29,"fig|536231.75.peg.40|RIL182_00041   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00042,52,59,55,77,59,43,279.002,165,110,"fig|536231.75.peg.41|RIL182_00042   putative secreted protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,1,0,0,0,6,11,0,"fig|536231.75.peg.42   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00043,25,27,16,9,14,0,18,28,25,"fig|536231.75.peg.43|RIL182_00043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00044,93,93,89,81,57,150,122,90,141,"fig|536231.75.peg.44|RIL182_00044   protein of unknown function DUF1214   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00045,135,145,120,104,182,174,266,129,180,"fig|536231.75.peg.45|RIL182_00045   Alkyl sulfatase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00046,2401,2105,2757,1918,1602,1320,251,524,699,"fig|536231.75.peg.46|RIL182_00046   RNA polymerase sigma factor SigV   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00047,4158,3020,4679,2393,2079,1910,220,547,764,"fig|536231.75.peg.47|RIL182_00047   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00049,490,410,520,238,188,203,78,104,53,"fig|536231.75.peg.48|RIL182_00049   acetyl esterase family enzyme   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00050,325,233,262,67,259,70,173,107,84,"fig|536231.75.peg.49|RIL182_00050   Tyrosyl-tRNA synthetase (EC 6.1.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00051,15,4,4,35,0,0,13,26,23,"fig|536231.75.peg.50|RIL182_00051   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00052,3,3,19,22,25,0,46,11,0,"fig|536231.75.peg.51|RIL182_00052   RNA polymerase sigma factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00053,34,25,27,34,9,0,22,6,0,"fig|536231.75.peg.52|RIL182_00053   ECF-type sigma factor negative effector   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00054,62,68,42,18,21,0,22,23,14,"fig|536231.75.peg.53|RIL182_00054   Hydrolase (HAD superfamily) in cluster with DUF1447   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00055,53,40,38,6,25,62,28,23,6,"fig|536231.75.peg.54|RIL182_00055   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00056,2,8,7,8,25,0,17,35,0,"fig|536231.75.peg.55|RIL182_00056   Substrate-specific component BioY of biotin ECF transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00057,10,5,5,0,26,0,11,55,0,"fig|536231.75.peg.56|RIL182_00057   Biotin synthase (EC 2.8.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00058,10,4,9,2,10,0,0,53,5,"fig|536231.75.peg.57|RIL182_00058   Dethiobiotin synthase BioD (EC 6.3.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00059,32,18,17,38,10,0,45,37,42,"fig|536231.75.peg.58|RIL182_00059   Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00060,12,15,13,13,0,13,43,0,10,"fig|536231.75.peg.59|RIL182_00060   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00061,1,6,2,1,13,0,6,32,0,"fig|536231.75.peg.60|RIL182_00061   Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00062,0,0,2,7,0,0,0,0,0,"fig|536231.75.peg.61|RIL182_00062   Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00063,264,214,200,192,189,165,226,207,148,"fig|536231.75.peg.62|RIL182_00063   Inner membrane protein YbiR, putative anion permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00064,203,113,156,190,159,85,178,102,153,"fig|536231.75.peg.63|RIL182_00064   Membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00065,2,5,3,3,0,0,0,0,0,"fig|536231.75.peg.64|RIL182_00065   Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00066,3,3,0,0,0,0,0,10,0,"fig|536231.75.peg.65|RIL182_00066   Lysophospholipase L2 (EC 3.1.1.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00067,1,1,8,9,4,10,4,53,0,"fig|536231.75.peg.66|RIL182_00067   Uncharacterized MFS-type transporter YxiO   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00068,1,0,2,0,0,0,0,0,0,"fig|536231.75.peg.67|RIL182_00068   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00069,13,8,15,32,44,0,5,21,0,"fig|536231.75.peg.68|RIL182_00069   Polyphosphate kinase (EC 2.7.4.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00070,4,1,7,0,0,0,6,3,19,"fig|536231.75.peg.69|RIL182_00070   Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00071,6,5,10,0,0,0,3,0,0,"fig|536231.75.peg.70|RIL182_00071   Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00072,3,3,3,0,0,0,0,37,0,"fig|536231.75.peg.71|RIL182_00072   Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00073,8,0,0,0,0,0,19,0,0,"fig|536231.75.peg.72|RIL182_00073   Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00074,3,0,6,2,0,0,3,33,0,"fig|536231.75.peg.73|RIL182_00074   Phosphate transport system regulatory protein PhoU   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00075,1214,939,830,906,539,444,1582,637,661,"fig|536231.75.peg.74|RIL182_00075   Sodium-dependent phosphate transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00076,146,97,140,169,164,97,302,242,186,"fig|536231.75.peg.75|RIL182_00076   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00077,204,172,137,129,52,54,168,128,44,"fig|536231.75.peg.76|RIL182_00077   Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00078,1787,1375,1303,973,598,582,1418,1001,900,"fig|536231.75.peg.77|RIL182_00078   DNA/RNA helicases, SNF2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.78   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00079,104,95,122,121,65,47,697,69,40,"fig|536231.75.peg.79|RIL182_00079   Putative manganese efflux pump MntP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00080,582,467,640,828,600,471,2988,615,730,"fig|536231.75.peg.80|RIL182_00080   Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00081,378.804,341.075,288.071,186.012,165,150,139.051,134,56.205,"fig|536231.75.peg.81|RIL182_00081   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00082,3530.445,3211.925,2718.929,4131.988,2872,2629,6149.949,2328,2337.795,"fig|536231.75.peg.82|RIL182_00082   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00083,110,99,109,144,197,146,146,31,125,"fig|536231.75.peg.83|RIL182_00083   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00084,57,56,53,81,107,45,242,34,33,"fig|536231.75.peg.84|RIL182_00084   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00085,623,425,356,1671,575,608,738,1177,1361,"fig|536231.75.peg.85|RIL182_00085   Glycerol uptake operon antiterminator regulatory protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00086,1468,1068,1888,4892,3592,3290,290,2143,1509,"fig|536231.75.peg.86|RIL182_00086   FIG01032097: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00087,44,27,48,123,112,89,10,78.737,43,"fig|536231.75.peg.87|RIL182_00087   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00088,86,61.591,161,326.695,392,405,35,147.263,228,"fig|536231.75.peg.88|RIL182_00088   FIG00513240: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00089,166,141.409,175,936.305,421,381,673,452,242,"fig|536231.75.peg.89|RIL182_00089   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00090,950,809,1157,3561,3224,2991,492,1713,1507,"fig|536231.75.peg.90|RIL182_00090   FIG01031723: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00091,470,299,642,2300,1189,1165,390,1117,895,"fig|536231.75.peg.91|RIL182_00091   Tn916, transcriptional regulator, putative   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00092,7,3,7,58,23,22,0,3,49,"fig|536231.75.peg.92|RIL182_00092   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00093,31,52,54.414,248.524,139,87,11,66,39,"fig|536231.75.peg.93|RIL182_00093   FIG086557: Conjugation related protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00094,579,438,382.586,702.476,395,243,15229,184,208,"fig|536231.75.peg.94|RIL182_00094   Uncharacterized membrane spanning protein, contains VanZ-like domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00095,266,254,411,1640,754,843,103,582,797,"fig|536231.75.peg.95|RIL182_00095   FIG00512738: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00096,208.445,164,219.527,709.545,555,542,262,515,308,"fig|536231.75.peg.96|RIL182_00096   Antirestriction protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00097,36.754,29,90.937,252.605,140,131,1,28,58,"fig|536231.75.peg.97|RIL182_00097   FIG00516843: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00098,471.801,451,680.537,2508.85,2243,1743,91,585,739,"fig|536231.75.peg.98|RIL182_00098   FIG00520311: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00099,584,569,809,3119,1904,1531,43,677,665,"fig|536231.75.peg.99|RIL182_00099   putative membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00100,170,185,308,1410,704,649,26,357,269,"fig|536231.75.peg.100|RIL182_00100   lipoprotein, NLP/P60 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00101,97,78,170,468,317,288,14,174,222,"fig|536231.75.peg.101|RIL182_00101   FIG00513093: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00102,345.72,217.752,364.99,147.468,144,108,401.793,172.729,100,"fig|536231.75.peg.102|RIL182_00102   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00103,2469.28,2053.248,2827.01,2453.532,1504,1440,1615.207,984.271,836,"fig|536231.75.peg.103|RIL182_00103   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00104,1460.208,1766.375,2083.908,2013,1053.28,923.386,837,397,308,"fig|536231.75.peg.104|RIL182_00104   Efflux ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00105,20,30,28,4,0,21,6,0,0,"fig|536231.75.peg.105|RIL182_00105   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00106,443.611,371.097,433.003,215,118.72,122.614,246.585,93.59,125,"fig|536231.75.peg.106|RIL182_00106   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00107,2122.837,1400.467,1887.234,908.523,597.5,436.999,981.135,374.233,300.604,"fig|536231.75.peg.107|RIL182_00107   FIG00518185: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00108,421.344,350.061,563.855,463.477,275.5,124.001,315.28,53.177,128.396,"fig|536231.75.peg.108|RIL182_00108   ABC transporter-like sensor linked histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00109,823,681,801.39,9080.088,2854,2599,421,4028,3532,"fig|536231.75.peg.109|RIL182_00109   conjugative transposon conserved hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00110,88,39,99.61,443.912,102,67,80,292,318,"fig|536231.75.peg.110|RIL182_00110   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00111,100,68,113,462.328,567,424,66.997,429,359,"fig|536231.75.peg.111|RIL182_00111   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00112,1549,1283,1538,4416.672,3366,3343,1465.003,2968,2814,"fig|536231.75.peg.112|RIL182_00112   putative transposon integrase; Tn916 ORF3-like   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.113   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00113,1157,737,1003,1066,1035,774,1163,1238,1056,"fig|536231.75.peg.114|RIL182_00113   Glycerol kinase (EC 2.7.1.30)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00114,460,409,413,395,386,308,831,359,329,"fig|536231.75.peg.115|RIL182_00114   Glycerol uptake facilitator protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00115,957,747,890,1218,1122,914,1693,971,1083,"fig|536231.75.peg.116|RIL182_00115   Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00116,753,656,700,1310,920,811,2324,1141,1594,"fig|536231.75.peg.117|RIL182_00116   Putative oxidoreductase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00117,46,35,31,37,50,69,72,48,116,"fig|536231.75.peg.118|RIL182_00117   FIG00513440: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00118,159,68,114,160,46,82,191,106,72,"fig|536231.75.peg.119|RIL182_00118   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00119,822,631,744,515,342,411,336,403,364,"fig|536231.75.peg.120|RIL182_00119   Methionyl-tRNA synthetase (EC 6.1.1.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00120,366,306,352,450,394,326,272,371,126,"fig|536231.75.peg.121|RIL182_00120   Glucosyltransferase (side chain biosynthesis) (EC 2.4.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00121,905,474,456,876,510,389,2685,719,764,"fig|536231.75.peg.122|RIL182_00121   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00122,7,3,13,0,0,0,12,0,16,"fig|536231.75.peg.123|RIL182_00122   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00123,2,0,0,0,0,0,9,0,0,"fig|536231.75.peg.124|RIL182_00123   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00124,680,525,323,561,449,338,807,808,574,"fig|536231.75.peg.125|RIL182_00124   Uncharacterized metal-dependent hydrolase YcfH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00125,211,201,355,285,221,164,207,279,295,"fig|536231.75.peg.126|RIL182_00125   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00126,531,552,1077,932,539,517,704,618,734,"fig|536231.75.peg.127|RIL182_00126   Biotin synthase related domain containing protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00127,2378,1827,1889,2059,1369,1588,2427,1831.07,1243,"fig|536231.75.peg.128|RIL182_00127   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00128,63.411,60.869,46.162,59,55,26,97.748,57.93,35,"fig|536231.75.peg.129|RIL182_00128   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00129,547.589,427.131,469.838,551,267,290,458.252,438,261,"fig|536231.75.peg.130|RIL182_00129   SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00130,546,346,335,365,272,156,964,476,411,"fig|536231.75.peg.131|RIL182_00130   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00131,1,1,0,0,0,0,19,13,0,"fig|536231.75.peg.132|RIL182_00131   Stage II sporulation protein D (SpoIID)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00132,5,1,2,4,0,0,9,0,0,"fig|536231.75.peg.133|RIL182_00132   Stage II sporulation protein related to metaloproteases (SpoIIQ)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00133,545,405,460,1069,605,893,2268,963,702,"fig|536231.75.peg.134|RIL182_00133   Diguanylate cyclase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00134,156,116,157,178,134,74,1071,337,326,"fig|536231.75.peg.136|RIL182_00134   DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00135,112,70,119,96,105,119,192,110,137,"fig|536231.75.peg.137|RIL182_00135   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00136,773,678,593,514,628,476,339,699,482,"fig|536231.75.peg.138|RIL182_00136   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00137,4430,3749,4538,2821,2886,2311,550,1811,1455,"fig|536231.75.peg.139|RIL182_00137   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.140   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,1,8,0,0,0,1,0,0,"fig|536231.75.peg.140   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00138,80,90,91,81,42,66,0,21,176,"fig|536231.75.peg.141|RIL182_00138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00139,35248.263,30673,20650.366,13940,9583,7962,33055.005,6764,10933,"fig|536231.75.peg.142|RIL182_00139   Reverse rubrerythrin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00140,3668.635,2521,2091.634,639,467,529,4343.995,595,733,"fig|536231.75.peg.143|RIL182_00140   Peroxide stress regulator PerR, FUR family   [Roseburia intestinalis L1-82 | 536231.75]
"
