,gene_id,description,ko,EC_number,cogs,cogs_description
192,BT_0192,cell surface protein,NA,NA,COG1520,Cell wall/membrane/envelope biogenesis
193,BT_0193,sugar phosphate isomerase / epimerase-like protein,NA,NA,COG1082,Carbohydrate transport and metabolism
194,BT_0194,Multicopper oxidase%2C copper-binding,NA,NA,NA,NA
195,BT_0195,glycerophosphoryl diester phosphodiesterase,K01126,3.1.4.46,COG0584,Lipid transport and metabolism
196,BT_0196,putative hexose phosphate transport protein,K07783,NA,COG2271,Carbohydrate transport and metabolism
197,BT_0197,conserved hypothetical protein,NA,NA,NA,NA
198,BT_0198,putative lipoprotein,NA,NA,NA,NA
199,BT_0199,Thioesterase superfamily like protein,NA,NA,COG2050,"Secondary metabolites biosynthesis, transport and catabolism"
200,BT_0200,ATP phosphoribosyltransferase,K00765,2.4.2.17,COG0040,Amino acid transport and metabolism
201,BT_0201,histidinol dehydrogenase,K00013,1.1.1.23,COG0141,Amino acid transport and metabolism
202,BT_0202,histidinol-phosphate aminotransferase,K00817,2.6.1.9,COG0079,Amino acid transport and metabolism
203,BT_0203,histidine biosynthesis bifunctional protein hisB,K01089,3.1.3.15,COG0241,Amino acid transport and metabolism
204,BT_0204,protein tyrosine/serine phosphatase,NA,NA,COG2365,Signal transduction mechanisms
205,BT_0205,glutamine-dependent NAD+ synthetase,K01950,6.3.5.1,COG0388,Defense mechanisms
206,BT_0206,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
207,BT_0207,SusD homolog,K21572,NA,NA,NA
208,BT_0208,hypothetical protein,NA,NA,NA,NA
209,BT_0209,hypothetical protein,NA,NA,NA,NA
210,BT_0210,leucine-rich repeat protein,NA,NA,COG4886,Transcription
211,BT_0211,Leucine-rich repeat protein,NA,NA,NA,NA
212,BT_0212,protease,NA,NA,COG1404,"Posttranslational modification, protein turnover, chaperones"
213,BT_0213,conserved hypothetical protein,NA,NA,NA,NA
214,BT_0214,hypothetical protein,NA,NA,NA,NA
215,BT_0215,iron uptake regulatory protein,K03711,NA,COG0735,Inorganic ion transport and metabolism
216,BT_0216,putative rubrerythrin,NA,NA,COG1592,Energy production and conversion
217,BT_0217,nitroreductase-like protein,NA,NA,COG0778,Energy production and conversion
218,BT_0218,thioredoxin (TRX),NA,NA,COG3118,"Posttranslational modification, protein turnover, chaperones"
219,BT_0219,thioredoxin C-2,K03671,NA,COG3118,"Posttranslational modification, protein turnover, chaperones"
220,BT_0220,hypothetical protein,NA,NA,NA,NA
221,BT_0221,putative ATPase,K07133,NA,COG1373,General function prediction only
222,BT_0222,putative two-component system sensor kinase,NA,NA,COG3275,Signal transduction mechanisms
223,BT_0223,two-component system response regulator,NA,NA,COG3279,Transcription
224,BT_0224,Lipocalin-like protein,NA,NA,NA,NA
225,BT_0225,hypothetical protein,NA,NA,NA,NA
226,BT_0226,hypothetical protein,NA,NA,NA,NA
227,BT_0227,conserved hypothetical protein,NA,NA,NA,NA
228,BT_0228,putative protein involved in recombination,NA,NA,NA,NA
229,BT_0229,conserved hypothetical protein,NA,NA,NA,NA
230,BT_0230,Winged helix repressor DNA-binding,NA,NA,NA,NA
231,BT_0231,excisionase,NA,NA,NA,NA
232,BT_0232,putative protein involved in transposition,NA,NA,NA,NA
233,BT_0233,integrase,NA,NA,COG4974,"Replication, recombination and repair"
234,BT_0234,putative transposase,NA,NA,NA,NA
235,BT_0235,UDP-glucuronosyl/UDP-glucosyltrasferase,NA,NA,COG1819,Carbohydrate transport and metabolism
236,BT_0236,conserved hypothetical protein,NA,NA,NA,NA
237,BT_0237,Peptidase%2C trypsin-like serine and cysteine,NA,NA,NA,NA
238,BT_0238,transcriptional regulator,K06871,NA,COG0641,"Posttranslational modification, protein turnover, chaperones"
239,BT_0239,thiol:disulfide interchange protein,NA,NA,NA,NA
240,BT_0240,TPR-repeat-containing protein,NA,NA,NA,NA
241,BT_0241,conserved hypothetical protein,NA,NA,NA,NA
242,BT_0242,putative polysaccharide deacetylase,NA,NA,NA,NA
243,BT_0243,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,K00655,2.3.1.51,COG0204,Lipid transport and metabolism
244,BT_0244,putative exonuclease,K03547,NA,COG0420,"Replication, recombination and repair"
245,BT_0245,ATP-dependent exonuclease sbcC,K03546,NA,COG0419,"Replication, recombination and repair"
246,BT_0246,putative integral membrane protein%2C with calcineurin-like phosphoesterase domain,K07098,NA,COG1408,General function prediction only
247,BT_0247,conserved hypothetical protein,NA,NA,NA,NA
248,BT_0248,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
249,BT_0249,5-methyltetrahydrofolate--homocysteine methyltransferase or methionine synthase,NA,NA,COG1410,Amino acid transport and metabolism
250,BT_0250,dihydroorotase (DHOase),K01465,3.5.2.3,COG0044,Nucleotide transport and metabolism
251,BT_0251,dolichol-phosphate mannosyltransferase,K00721,2.4.1.83,COG0463,Cell wall/membrane/envelope biogenesis
252,BT_0252,transcription-repair coupling factor,K03723,5.6.2.4,COG1197,Transcription
253,BT_0253,hypothetical protein,NA,NA,NA,NA
254,BT_0254,putative Fe-S oxidoreductase,NA,NA,COG1032,General function prediction only
255,BT_0255,conserved hypothetical protein,NA,NA,NA,NA
256,BT_0256,conserved hypothetical protein,NA,NA,NA,NA
257,BT_0257,xanthan lyase,NA,NA,COG0860,Cell wall/membrane/envelope biogenesis
258,BT_0258,glucosamine-6-phosphate isomerase,K02564,3.5.99.6,COG2120,Carbohydrate transport and metabolism
259,BT_0259,putative amidohydrolase,K13566,3.5.1.3,COG0388,Defense mechanisms
260,BT_0260,acyltransferase family protein,NA,NA,COG0204,Lipid transport and metabolism
261,BT_0261,conserved hypothetical protein,NA,NA,NA,NA
262,BT_0262,conserved hypothetical protein,NA,NA,NA,NA
263,BT_0263,Six-hairpin glycosidase,NA,NA,NA,NA
264,BT_0264,glycoside hydrolase family 43,NA,NA,NA,NA
265,BT_0265,beta-glucanase precursor,NA,NA,COG3507,Carbohydrate transport and metabolism
266,BT_0266,Galactose-binding-like protein,NA,NA,NA,NA
267,BT_0267,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG3292,Signal transduction mechanisms
268,BT_0268,SusC homolog,NA,NA,NA,NA
269,BT_0269,SusD homolog,K21572,NA,NA,NA
270,BT_0270,hypothetical protein,NA,NA,NA,NA
271,BT_0271,hypothetical protein,NA,NA,NA,NA
272,BT_0272,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
273,BT_0273,SusD homolog,K21572,NA,NA,NA
274,BT_0274,hypothetical protein,NA,NA,NA,NA
275,BT_0275,conserved hypothetical protein,NA,NA,NA,NA
276,BT_0276,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
277,BT_0277,Coagulation factor 5/8 type%2C C-terminal,NA,NA,NA,NA
278,BT_0278,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
279,BT_0279,hypothetical protein,NA,NA,NA,NA
280,BT_0280,transposase for insertion sequence element ISRM3,NA,NA,COG3328,"Mobilome: prophages, transposons"
281,BT_0281,putative DNA-binding protein,NA,NA,COG0776,"Replication, recombination and repair"
282,BT_0282,putative helicase,NA,NA,COG5545,"Mobilome: prophages, transposons"
283,BT_0283,hypothetical protein,NA,NA,NA,NA
284,BT_0284,putative peptidoglycan binding protein (LPXTG motif),NA,NA,NA,NA
285,BT_0285,putative tolQ-type transport protein,K03561,NA,COG0811,"Intracellular trafficking, secretion, and vesicular transport"
286,BT_0286,Biopolymer transport protein ExbD/TolR,K03559,NA,COG0848,"Intracellular trafficking, secretion, and vesicular transport"
287,BT_0287,putative biopolymer transmembrane protein,K03559,NA,COG0848,"Intracellular trafficking, secretion, and vesicular transport"
288,BT_0288,conserved hypothetical protein,NA,NA,NA,NA
289,BT_0289,TonB-dependent receptor domain protein,NA,NA,COG1629,Inorganic ion transport and metabolism
290,BT_0290,beta-galactosidase precursor,K12308,3.2.1.23,COG1874,Carbohydrate transport and metabolism
291,BT_0291,integrase,NA,NA,COG4974,"Replication, recombination and repair"
292,BT_0292,conserved hypothetical protein,NA,NA,NA,NA
293,BT_0293,conserved hypothetical protein,NA,NA,NA,NA
294,BT_0294,Carboxypeptidase regulatory region,NA,NA,NA,NA
295,BT_0295,ABC transporter ATP-binding protein,NA,NA,COG1131,Defense mechanisms
296,BT_0296,putative xanthan lyase XalB precursor,NA,NA,COG1277,"Posttranslational modification, protein turnover, chaperones"
297,BT_0297,putative outer membrane lipoprotein silC precursor,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
298,BT_0298,cation efflux system protein (outer membrane protein),NA,NA,COG0845,Defense mechanisms
299,BT_0299,cation efflux system (AcrB/AcrD/AcrF family),K03296,NA,COG0841,Defense mechanisms
300,BT_0300,cation efflux system (AcrB/AcrD/AcrF family),NA,NA,COG0841,Defense mechanisms
301,BT_0301,ATP-binding transport protein natA (Na+ ABC transporter),K01990,NA,COG1131,Defense mechanisms
302,BT_0302,hypothetical protein,NA,NA,NA,NA
303,BT_0303,putative patatin-like phospholipase,K07001,NA,COG1752,General function prediction only
304,BT_0304,acriflavine resistance protein A precursor,K03585,NA,COG0845,Defense mechanisms
305,BT_0305,putative aminoglycoside efflux pump (Acriflavine resistance protein),NA,NA,COG0841,Defense mechanisms
306,BT_0306,outer membrane protein oprM precursor,K18139,NA,COG1538,Cell wall/membrane/envelope biogenesis
307,BT_0307,phosphofructokinase,K00895,2.7.1.90,COG0205,Carbohydrate transport and metabolism
308,BT_0308,glycoside hydrolase family 25,K07273,NA,COG3757,Cell wall/membrane/envelope biogenesis
309,BT_0309,Dihydrolipoamide dehydrogenase,K00382,1.8.1.4,COG1249,Energy production and conversion
310,BT_0310,lipoate-protein ligase A,K03800,6.3.1.20,COG0095,Coenzyme transport and metabolism
311,BT_0311,lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex,K00658,2.3.1.61,COG0508,Energy production and conversion
312,BT_0312,2-oxoisovalerate dehydrogenase beta subunit,K11381,1.2.4.4,COG1071,Energy production and conversion
313,BT_0313,flavodoxin,K03839,NA,COG0716,Energy production and conversion
314,BT_0314,ribosomal protein L11 methyltransferase,K02687,NA,COG2264,"Translation, ribosomal structure and biogenesis"
315,BT_0315,conserved hypothetical protein,NA,NA,NA,NA
316,BT_0316,putative hemin receptor,NA,NA,NA,NA
317,BT_0317,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
318,BT_0318,SusD homolog,NA,NA,NA,NA
319,BT_0319,conserved hypothetical protein,NA,NA,NA,NA
320,BT_0320,hypothetical protein,NA,NA,NA,NA
321,BT_0321,cytidine/deoxycytidylate deaminase,NA,NA,COG0590,"Translation, ribosomal structure and biogenesis"
322,BT_0322,putative oxidoreductase,NA,NA,COG0673,General function prediction only
323,BT_0323,conserved hypothetical protein,NA,NA,NA,NA
324,BT_0324,conserved hypothetical protein,NA,NA,NA,NA
325,BT_0325,conserved hypothetical protein,NA,NA,NA,NA
326,BT_0326,putative RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
327,BT_0327,glutamine ABC transporter%2C periplasmic glutamine-binding protein (glnH),NA,NA,COG4623,Signal transduction mechanisms
328,BT_0328,conserved hypothetical protein,NA,NA,NA,NA
329,BT_0329,ketoisovalerate oxidoreductase subunit vorA,K00177,1.2.7.3,COG1014,Energy production and conversion
330,BT_0330,ketoisovalerate oxidoreductase subunit vorA,K00175,1.2.7.11,COG1013,Energy production and conversion
331,BT_0331,ketoisovalerate oxidoreductase subunit vorB,K00174,1.2.7.11,COG0674,Energy production and conversion
332,BT_0332,2-oxoisovalerate oxidoreductase beta subunit,NA,NA,COG0674,Energy production and conversion
333,BT_0333,4Fe-4S ferredoxin%2C iron-sulfur binding protein,K00176,1.2.7.3,COG1143,Energy production and conversion
334,BT_0334,conserved hypothetical protein,NA,NA,NA,NA
335,BT_0335,putative ATPase,K03924,NA,COG0714,General function prediction only
336,BT_0336,conserved hypothetical protein,NA,NA,COG2425,Function unknown
337,BT_0337,conserved hypothetical protein,K09793,NA,COG2839,Function unknown
338,BT_0338,Pectin lyase fold/virulence factor,NA,NA,NA,NA
339,BT_0339,alpha-glucosidase,K01811,3.2.1.177,COG1501,Carbohydrate transport and metabolism
340,BT_0340,trimethylamine corrinoid protein 2 (TCP 2),NA,NA,COG5012,Energy production and conversion
341,BT_0341,Na+/glucose cotransporter,K03307,NA,COG4146,General function prediction only
342,BT_0342,putative 5-methyltetrahydrofolate-homocystein methyltransferase,NA,NA,COG1410,Amino acid transport and metabolism
343,BT_0343,methylcobamide:CoM methyltransferase mtbA,K01599,4.1.1.37,COG0407,Coenzyme transport and metabolism
344,BT_0344,hypothetical protein,NA,NA,NA,NA
345,BT_0345,hypothetical protein,NA,NA,NA,NA
346,BT_0346,ribose 5-phosphate isomerase B,K01808,5.3.1.6,COG0698,Carbohydrate transport and metabolism
